node,beta,degree
n5722,-1.01975027028921,66
n5748,-2.14687679098636,23
n5749,-1.20089089934672,56
n5759,-0.847163056743153,77
n5770,-2.40058675432394,18
n5772,-2.06006679230716,25
n5775,-3.10925402987224,9
n5786,-3.22876674281693,8
n5790,-2.29178836023261,20
n5794,-1.97968104286878,27
n5795,-2.73462116602256,13
n5809,-1.51227480678234,42
n5812,-1.94160240624577,28
n5814,-2.73462116602256,13
n5824,-1.28175512746789,52
n5843,-0.891922915838098,74
n5844,-2.52181158765623,16
n5858,-3.10925402987224,9
n5876,-2.10260251764155,24
n5877,-0.669479874999708,90
n5882,-0.547520222996008,100
n5896,-1.76875772912284,33
n5902,-3.36402889844668,7
n5904,-3.10925402987224,9
n5906,-2.45946557240675,17
n5916,-3.92884361178356,4
n5932,-1.4870461441925,43
n5934,-2.90512719009219,11
n5943,-2.34480010856028,19
n5954,-3.10925402987224,9
n5959,-1.76875772912284,33
n5962,-2.73462116602256,13
n5978,-2.65878877372373,14
n5988,-1.86919023742149,30
n5996,-2.14687679098636,23
n5998,-1.90480099215796,29
n6,-2.52181158765623,16
n6002,-3.22876674281693,8
n6007,-0.254503637357375,128
n6026,-1.80123595697192,32
n6027,-1.20089089934672,56
n6034,-3.36402889844668,7
n6056,-1.12515399712306,60
n6065,-1.05388347536692,64
n6069,-0.619347302609146,94
n6081,-2.10260251764155,24
n6084,-2.81638932330843,12
n6086,-2.58807250110575,15
n6090,-5.32034712090361,1
n6111,-3.00216491085157,10
n6125,-2.58807250110575,15
n6127,-1.4870461441925,43
n6130,-3.22876674281693,8
n6149,-2.24128070372103,21
n615,-2.45946557240675,17
n6155,-1.80123595697192,32
n6156,-1.01975027028921,66
n6158,-1.56446375821739,40
n6165,-0.818177803629651,79
n6168,-2.58807250110575,15
n6171,-3.00216491085157,10
n6183,-2.24128070372103,21
n6187,-1.80123595697192,32
n619,-2.29178836023261,20
n6203,-1.08899668187074,62
n6204,-2.40058675432394,18
n621,-2.34480010856028,19
n6210,-2.81638932330843,12
n6211,-2.10260251764155,24
n6222,-1.73719906213548,34
n6223,-3.10925402987224,9
n6232,-0.970261693449659,69
n6237,-2.29178836023261,20
n6239,-1.32435861872315,50
n6250,-3.22876674281693,8
n6251,-4.2182609136025,3
n6262,-2.40058675432394,18
n6276,-3.22876674281693,8
n6290,-3.22876674281693,8
n6296,-2.81638932330843,12
n6297,-2.29178836023261,20
n6302,-1.30286421198043,51
n6311,-2.81638932330843,12
n6320,-1.73719906213548,34
n6322,-2.58807250110575,15
n6327,-1.73719906213548,34
n6330,-2.58807250110575,15
n6342,-2.29178836023261,20
n6343,-1.97968104286878,27
n6351,-1.97968104286878,27
n6356,-0.922671806469676,72
n6360,-0.891922915838098,74
n6364,-1.76875772912284,33
n6366,-3.00216491085157,10
n6374,-2.40058675432394,18
n6379,-1.73719906213548,34
n6393,-2.45946557240675,17
n6394,-0.818177803629651,79
n6399,-2.65878877372373,14
n6400,0.248396992992,191
n6401,-1.41451522733064,46
n6410,-1.53807134094284,41
n6411,0.0827349198273191,168
n6418,-2.10260251764155,24
n6438,-3.51991143906438,6
n6451,-1.73719906213548,34
n6452,-2.34480010856028,19
n6460,-0.876826008826669,75
n6464,-2.45946557240675,17
n6474,-2.81638932330843,12
n6496,-1.97968104286878,27
n65,-2.29178836023261,20
n6503,-1.12515399712306,60
n6532,-2.14687679098636,23
n6534,-2.52181158765623,16
n6546,-1.64752969557201,37
n6548,-2.34480010856028,19
n6554,-3.36402889844668,7
n6555,-2.58807250110575,15
n6559,-0.832587889373938,78
n6562,-2.73462116602256,13
n6573,-2.65878877372373,14
n6576,-3.22876674281693,8
n6582,-0.734962635677646,85
n6590,-2.73462116602256,13
n6596,-2.90512719009219,11
n6605,-1.14364598793189,59
n6608,-1.90480099215796,29
n6621,-2.24128070372103,21
n6623,-2.01913326864473,26
n6625,-3.10925402987224,9
n6639,-1.20089089934672,56
n6641,-0.847163056743153,77
n6656,-1.3462538899008,49
n6657,-2.65878877372373,14
n6679,-2.73462116602256,13
n6684,-1.41451522733064,46
n6700,-2.81638932330843,12
n6708,-2.45946557240675,17
n6709,-0.970261693449659,69
n6711,-2.24128070372104,21
n6723,-2.81638932330843,12
n6728,-1.80123595697192,32
n6733,-2.58807250110575,15
n6747,-2.29178836023261,20
n6749,-2.10260251764155,24
n6774,-1.59148219783467,39
n6783,-1.83469209599483,31
n6795,-3.00216491085157,10
n6799,-2.58807250110575,15
n6810,-2.45946557240675,17
n6814,-3.00216491085157,10
